Tweet;Language;Sentiment
averag messi fan;fr;0
look forward interview ossi ardil pele escap victori maradona messi argentina win world cup ossi win world cup spur cup win top pop tottingham join;en;1
look forward interview ossi ardil pele escap victori maradona messi argentina win world cup ossi win world cup spur cup win top pop tottingham join;en;1
best messi video ive ever seen;en;1
best messi video ive ever seen;en;1
best messi video ive ever seen;en;1
best messi video ive ever seen;en;1
messi win argentina first world cup sinc napoli top seri ten point diego maradona would;en;1
messi win argentina first world cup sinc napoli top seri ten point diego maradona would;en;1
messi win argentina first world cup sinc napoli top seri ten point diego maradona would;en;1
messi win argentina first world cup sinc napoli top seri ten point diego maradona would;en;1
who favorit footbal player;en;0
who favorit footbal player;en;0
who favorit footbal player;en;0
who favorit footbal player;en;0
lionel messi thought footbal;en;0
lionel messi thought footbal;en;0
lionel messi thought footbal;en;0
lionel messi thought footbal;en;0
best messi video ive ever seen;en;1
best messi video ive ever seen;en;1
best messi video ive ever seen;en;1
best messi video ive ever seen;en;1
stat say finish messi better prime ronaldo;en;0
stat say finish messi better prime ronaldo;en;0
stat say finish messi better prime ronaldo;en;0
stat say finish messi better prime ronaldo;en;0
bro leav destroy messi;en;0
bro leav destroy messi;en;0
bro leav destroy messi;en;0
bro leav destroy messi;en;0
romero ask messi ronaldo reaction ye messi obvious;en;0
romero ask messi ronaldo reaction ye messi obvious;en;0
romero ask messi ronaldo reaction ye messi obvious;en;0
romero ask messi ronaldo reaction ye messi obvious;en;0
hard lionel messi even cristiano ronaldo tri didnt come close;en;0
hard lionel messi even cristiano ronaldo tri didnt come close;en;0
hard lionel messi even cristiano ronaldo tri didnt come close;en;0
hard lionel messi even cristiano ronaldo tri didnt come close;en;0
antonio cont messi capac solv situat talk best player world;en;1
antonio cont messi capac solv situat talk best player world;en;1
antonio cont messi capac solv situat talk best player world;en;1
antonio cont messi capac solv situat talk best player world;en;1
carrer assist dont come play lol anoth brainless messi fan chang narr suit word goal fan goal fewer goal chanc creat stop nonsens;en;0
carrer assist dont come play lol anoth brainless messi fan chang narr suit word goal fan goal fewer goal chanc creat stop nonsens;en;0
carrer assist dont come play lol anoth brainless messi fan chang narr suit word goal fan goal fewer goal chanc creat stop nonsens;en;0
carrer assist dont come play lol anoth brainless messi fan chang narr suit word goal fan goal fewer goal chanc creat stop nonsens;en;0
messi like month averag perform entir career consid high standard month;en;0
messi like month averag perform entir career consid high standard month;en;0
messi like month averag perform entir career consid high standard month;en;0
messi like month averag perform entir career consid high standard month;en;0
lionel messi equal cristiano ronaldo goal talli fewer game talk enough;en;0
lionel messi equal cristiano ronaldo goal talli fewer game talk enough;en;0
lionel messi equal cristiano ronaldo goal talli fewer game talk enough;en;0
lionel messi equal cristiano ronaldo goal talli fewer game talk enough;en;0
best messi video ive ever seen;en;1
best messi video ive ever seen;en;1
best messi video ive ever seen;en;1
best messi video ive ever seen;en;1
world cup winner lionel messi;en;1
world cup winner lionel messi;en;1
world cup winner lionel messi;en;1
world cup winner lionel messi;en;1
messi win argentina first world cup sinc napoli top seri ten point diego maradona would;en;1
messi win argentina first world cup sinc napoli top seri ten point diego maradona would;en;1
messi;fr;0
messi;fr;0
messi win argentina first world cup sinc napoli top seri ten point diego maradona would;en;1
messi win argentina first world cup sinc napoli top seri ten point diego maradona would;en;1
messi;fr;0
messi;fr;0
messi done fanbas;en;0
messi done fanbas;en;0
